 ('2024-1-20', 0.521266942930874),
 ('2024-1-21', 0.5127135160494553),
 ('2024-1-22', 0.5121469203380808),
 ('2024-1-23', 0.5208131373236137),
 ('2024-1-24', 0.5218144183942189),
 ('2024-1-25', 0.5232588386826238),
 ('2024-1-26', 0.5131293845133145),
 ('2024-1-27', 0.5142772483737088),
 ('2024-1-28', 0.5116283607049561),
 ('2024-1-29', 0.5140703751507189),
 ('2024-1-30', 0.5148035218993893),
 ('2024-1-31', 0.5189084371169062),
 ('2024-2-1', 0.5099698657275848),
 ('2024-2-2', 0.4899304304180683),
 ('2024-2-3', 0.47617650093142266),
 ('2024-2-4', 0.4628258722671681),
 ('2024-2-5', 0.46386304668165274),
 ('2024-2-6', 0.46699313461079867),
 ('2024-2-7', 0.47049093507461676),
 ('2024-2-8', 0.4856055239067026),
 ('2024-2-9', 0.4994752287734225),
 ('2024-2-10', 0.5007917716858208),
 ('2024-2-11', 0.4957861069045143),
 ('2024-2-12', 0.49911326024279334),
 ('2024-2-13', 0.5060108499844557),
 ('2024-2-14', 0.5648220232896667),
 ('2024-2-15', 0.575231012350992),
 ('2024-2-16', 0.5786788859965515),
 ('2024-2-17', 0.5821090775191177),
 ('2024-2-18', 0.5794096300099627),
 ('2024-2-19', 0.5831161328378208),
 ('2024-2-20', 0.5918568591339053),
 ('2024-2-21', 0.5944938373655259),
 ('2024-2-22', 0.5946582081197047),
 ('2024-2-23', 0.5986806862440297),
 ('2024-2-24', 0.6276672538389395),
 ('2024-2-25', 0.632192073747735),
 ('2024-2-26', 0.6463774363201734),
 ('2024-2-27', 0.6521620176711654),
 ('2024-2-28', 0.6793188898865848),
 ('2024-2-29', 0.7155952347860437),
 ('2024-3-1', 0.721611636245396),
 ('2024-3-2', 0.7325503233141922),
 ('2024-3-3', 0.7338751432626721),
 ('2024-3-4', 0.7363354826265426),
 ('2024-3-5', 0.742084597721126),
 ('2024-3-6', 0.7378093004208098),
 ('2024-3-7', 0.7387846374339251),
 ('2024-3-8', 0.7362005704157591),
 ('2024-3-9', 0.7336460293331892),
 ('2024-3-10', 0.7314093486815024),
 ('2024-3-11', 0.7315145487582133),
 ('2024-3-12', 0.7373823610890325),
 ('2024-3-13', 0.7461383126447909),
 ('2024-3-14', 0.7406154105852478),
 ('2024-3-15', 0.7396136265886676),
 ('2024-3-16', 0.7374104121511996),
 ('2024-3-17', 0.735147673028627),
 ('2024-3-18', 0.7352753293195373),
 ('2024-3-19', 0.7431783014639598),
 ('2024-3-20', 0.7425120083900465),
 ('2024-3-21', 0.7460943672629125),
 ('2024-3-22', 0.7373729805719499),
 ('2024-3-23', 0.7417066626153745),
 ('2024-3-24', 0.7799502571336596),
 ('2024-3-25', 0.792321290441129),
 ('2024-3-26', 0.8036485267871916),
 ('2024-3-27', 0.8072466897264594),
 ('2024-3-28', 0.7699197574602027),
 ('2024-3-29', 0.7543030486249417),
 ('2024-3-30', 0.7658361385508573),
 ('2024-3-31', 0.7646552734782659),
 ('2024-4-1', 0.7653273063263591),
 ('2024-4-2', 0.7648416557822945),
 ('2024-4-3', 0.7585371431629375),
 ('2024-4-4', 0.7587481940598954),
 ('2024-4-5', 0.7599136144395608),
 ('2024-4-6', 0.7543196916248301),
 ('2024-4-7', 0.7350523998117059),
 ('2024-4-8', 0.7326800427617275),
 ('2024-4-9', 0.7268409164061612),
 ('2024-4-10', 0.7341769964274681),
 ('2024-4-11', 0.723833821804676),
 ('2024-4-12', 0.6904320735465841),
 ('2024-4-13', 0.6869605669524764),
 ('2024-4-14', 0.6783228857044283),
 ('2024-4-15', 0.6754494342932615),
 ('2024-4-16', 0.6776771374027833),
 ('2024-4-17', 0.6756108297446002),
 ('2024-4-18', 0.6762677687077683),
 ('2024-4-19', 0.6744008739808938),
 ('2024-4-20', 0.6782990585235328),
 ('2024-4-21', 0.6747349448437575),
 ('2024-4-22', 0.6741835581082805),
 ('2024-4-23', 0.6771965754540802),
 ('2024-4-24', 0.669236129201519),
 ('2024-4-25', 0.6602250354144718),
 ('2024-4-26', 0.6579585325497292),
 ('2024-4-27', 0.6593290532743875),
 ('2024-4-28', 0.6553863173841724),
 ('2024-4-29', 0.6550370183391063),
 ('2024-4-30', 0.7185793304590121),
 ('2024-5-1', 0.715126912962516),
 ('2024-5-2', 0.7152236486352342),
 ('2024-5-3', 0.72146232897781),
 ('2024-5-4', 0.72386575754203),
 ('2024-5-5', 0.7102200646220204),
 ('2024-5-6', 0.6667611460343414),
 ('2024-5-7', 0.6540704472803294),
 ('2024-5-8', 0.6408731586099324),
 ('2024-5-9', 0.6321720389443822),
 ('2024-5-10', 0.6265021166132627),
 ('2024-5-11', 0.6246429412401043),
 ('2024-5-12', 0.6043721898851865),
 ('2024-5-13', 0.6006931536561871),
 ('2024-5-14', 0.6020148767132307),
 ('2024-5-15', 0.5996396179308764),
 ('2024-5-16', 0.5994172602434539),
 ('2024-5-17', 0.5946045254575714),
